date,City,temperature_2m_mean,wind_speed_10m_mean,relative_humidity_2m_mean,precipitation_sum
2015-01-04,Kalutara District,25.411583,3.4158118,82.92035,0.7
2015-01-04,Kandy District,23.578833,3.6889648,83.54702,0.0
2015-01-04,Kegalle District,24.44008,3.868169,83.96294,0.4
2015-01-04,Kilinochchi District,26.109167,9.037236,84.124084,0.0
2015-01-04,Mannar District,26.26925,12.016723,82.67256,0.2
2015-01-04,Matale District,25.029915,4.234284,81.01179,0.0
2015-01-04,Matara District,26.172503,3.8629503,84.49197,2.1000001
2015-01-04,Monaragala District,25.250917,6.980825,83.92631,0.0
2015-01-04,Mullaitivu District,26.241997,10.2833395,82.66482,0.0
2015-01-04,Nuwara Eliya District,17.829834,3.7600918,83.34051,0.0
2015-01-04,Polonnaruwa District,25.941504,5.2364635,80.79597,0.5
2015-01-04,Puttalam District,26.449251,6.032122,82.284935,0.2
2015-01-04,Ratnapura district,25.517,3.4158118,85.538246,0.7
2015-01-04,Trincomalee District,26.087418,6.5524583,83.48514,0.5
2015-01-04,Vavuniya District,25.764585,7.778605,82.532684,0.1
2015-01-05,Ampara District,25.244917,11.439448,86.61746,3.3000002
2015-01-05,Anuradhapura District,25.407084,8.774713,83.05391,0.6
2015-01-05,Badulla District,21.731834,4.547603,84.89224,0.4
2015-01-05,Batticaloa District,25.303915,9.72266,87.82101,3.2000003
2015-01-05,Colombo District,26.40917,3.5832555,83.00772,1.0
2015-01-05,Galle District,26.905,4.1696563,83.10978,1.6000001
2015-01-05,Gampaha District,26.549416,4.3573985,81.90372,0.4
2015-01-05,Hambantota District,26.13375,9.008291,82.69935,0.5
2015-01-05,Jaffna District,26.253668,14.474013,79.712105,0.5
2015-01-05,Kalutara District,25.213669,3.6912067,84.44231,1.0
2015-01-05,Kandy District,22.772583,5.6814995,85.073586,0.4
2015-01-05,Kegalle District,24.43383,3.1357183,83.148415,3.0999997
2015-01-05,Kilinochchi District,25.765419,10.549867,82.750595,0.3
2015-01-05,Mannar District,26.017166,14.874191,81.43107,0.4
2015-01-05,Matale District,24.04658,7.380911,84.54427,0.3
2015-01-05,Matara District,26.02458,4.1696563,83.69156,1.6000001
2015-01-05,Monaragala District,24.50717,9.3430395,84.794365,1.2
2015-01-05,Mullaitivu District,25.981585,13.95704,82.19516,0.2
2015-01-05,Nuwara Eliya District,17.267334,3.9331787,80.332756,0.0
2015-01-05,Polonnaruwa District,24.851915,6.5038896,87.06271,2.5
2015-01-05,Puttalam District,26.2555,10.931485,81.19994,0.0
2015-01-05,Ratnapura district,25.394083,3.6912067,85.67428,1.0
2015-01-05,Trincomalee District,25.624918,8.51665,86.049034,0.6
2015-01-05,Vavuniya District,25.118753,8.917903,85.215065,0.2
2015-01-06,Ampara District,24.969917,10.862942,87.51763,3.2000003
2015-01-06,Anuradhapura District,25.211252,8.995748,85.09319,1.0
2015-01-06,Badulla District,21.567247,5.3215537,87.8652,1.9000001
2015-01-06,Batticaloa District,25.070581,9.251158,87.9224,8.300001
2015-01-06,Colombo District,26.31333,7.365125,81.19416,3.4
2015-01-06,Galle District,25.484169,4.7670794,88.823265,35.0
2015-01-06,Gampaha District,26.441084,9.820116,79.5042,0.5
2015-01-06,Hambantota District,26.123335,10.516667,83.05747,0.90000004
2015-01-06,Jaffna District,25.864084,16.177149,78.55089,0.0
2015-01-06,Kalutara District,24.817835,4.2462993,86.5698,26.3
2015-01-06,Kandy District,22.870499,6.6012096,87.70902,1.0000001
2015-01-06,Kegalle District,24.21092,5.5264544,83.70491,2.5
2015-01-06,Kilinochchi District,25.555,11.339096,80.51251,0.2
2015-01-06,Mannar District,25.717169,16.344742,78.96152,0.6
2015-01-06,Matale District,23.973665,8.399235,87.51859,1.1
2015-01-06,Matara District,25.414167,4.7670794,88.039764,35.0
2015-01-06,Monaragala District,24.292587,9.815416,86.97336,1.4000001
2015-01-06,Mullaitivu District,25.72117,15.311207,80.75346,1.1
2015-01-06,Nuwara Eliya District,16.890251,5.052166,85.47531,1.6000001
2015-01-06,Polonnaruwa District,24.808167,6.43569,87.358955,1.4000001
2015-01-06,Puttalam District,25.984665,12.021989,81.105606,0.70000005
2015-01-06,Ratnapura district,25.306585,4.2462993,86.21496,26.3
2015-01-06,Trincomalee District,25.210337,9.680146,86.29998,1.9000001
2015-01-06,Vavuniya District,24.722918,8.751023,85.604675,0.8
2015-01-07,Ampara District,25.113668,12.415619,79.96296,0.0
2015-01-07,Anuradhapura District,24.798752,7.886871,79.12913,0.0
2015-01-07,Badulla District,21.513083,3.4695673,82.36059,3.5000002
2015-01-07,Batticaloa District,25.22267,10.073777,81.30596,0.0
2015-01-07,Colombo District,25.894585,6.4562664,79.99058,0.5
2015-01-07,Galle District,26.202913,4.4634013,88.15695,3.6000001
2015-01-07,Gampaha District,26.005667,7.6265755,77.38415,0.0
2015-01-07,Hambantota District,25.66292,4.426371,86.042725,0.7
2015-01-07,Jaffna District,25.624504,12.676541,77.15782,0.0
2015-01-07,Kalutara District,24.619917,4.237889,83.248566,4.0
2015-01-07,Kandy District,22.412163,5.941467,83.26901,0.0
2015-01-07,Kegalle District,23.80883,4.966547,79.870705,0.0
2015-01-07,Kilinochchi District,25.175833,9.874497,79.28047,0.0
2015-01-07,Mannar District,25.413002,14.4154215,75.96636,0.0
2015-01-07,Matale District,23.673668,6.7837453,80.71499,0.0
2015-01-07,Matara District,25.497498,4.4634013,88.21589,3.6000001
2015-01-07,Monaragala District,24.48633,9.814116,79.34557,0.0
2015-01-07,Mullaitivu District,25.360754,12.200592,77.385704,0.0
2015-01-07,Nuwara Eliya District,16.636084,3.5793993,84.66813,0.5
2015-01-07,Polonnaruwa District,24.751915,6.63286,80.11144,0.0
2015-01-07,Puttalam District,25.572166,10.34246,78.14287,0.0
2015-01-07,Ratnapura district,24.925337,4.237889,83.66966,4.0
2015-01-07,Trincomalee District,25.281168,8.4846945,78.832794,0.0
2015-01-07,Vavuniya District,24.391665,7.9780407,80.45629,0.0
2015-01-08,Ampara District,24.91575,10.008977,79.095726,0.0
2015-01-08,Anuradhapura District,24.448751,8.620021,78.8567,0.0
2015-01-08,Badulla District,21.165167,3.3040905,80.41666,2.5
2015-01-08,Batticaloa District,24.991417,7.3490996,79.83641,0.0
2015-01-08,Colombo District,25.72167,6.354662,76.71067,0.0
2015-01-08,Galle District,26.429998,4.129127,84.30787,1.0
2015-01-08,Gampaha District,25.880669,6.823192,74.07981,0.0
2015-01-08,Hambantota District,25.54,8.322682,82.73792,0.0
2015-01-08,Jaffna District,25.695335,10.761937,77.25759,0.0
2015-01-08,Kalutara District,24.61783,6.004431,81.04282,0.0
2015-01-08,Kandy District,22.228836,6.430286,79.84579,0.0
2015-01-08,Kegalle District,23.237999,5.6931567,76.712,0.0
2015-01-08,Kilinochchi District,24.965416,8.533004,80.43978,0.0
2015-01-08,Mannar District,25.417168,12.234581,75.7434,0.0
2015-01-08,Matale District,23.390335,7.377521,78.54524,0.0
2015-01-08,Matara District,25.793333,4.129127,85.4499,1.0
2015-01-08,Monaragala District,24.0655,8.921514,78.60005,0.0
2015-01-08,Mullaitivu District,25.446169,10.278541,74.19758,0.0
2015-01-08,Nuwara Eliya District,16.492332,3.480832,77.59337,0.0
2015-01-08,Polonnaruwa District,24.064415,5.8411317,81.19236,0.0
2015-01-08,Puttalam District,25.42217,10.0591,77.69383,0.0
2015-01-08,Ratnapura district,24.652414,6.004431,79.01879,0.0
2015-01-08,Trincomalee District,25.312418,7.481891,75.43261,0.0
2015-01-08,Vavuniya District,24.266668,8.004106,79.30831,0.0
2015-01-09,Ampara District,24.828247,10.334444,79.54227,0.0
2015-01-09,Anuradhapura District,24.525839,9.538084,79.04176,0.0
2015-01-09,Badulla District,21.202665,4.0604677,75.38471,0.0
2015-01-09,Batticaloa District,25.068502,7.7134986,80.39979,0.0
2015-01-09,Colombo District,25.70083,5.3878446,75.21996,0.0
2015-01-09,Galle District,26.48417,3.2776117,82.248436,0.8
2015-01-09,Gampaha District,25.845253,6.380133,72.522896,0.0
2015-01-09,Hambantota District,26.075417,12.942352,75.59399,0.0
2015-01-09,Jaffna District,25.493248,13.361516,78.45391,0.1
2015-01-09,Kalutara District,24.742834,5.0931883,81.90375,0.0
2015-01-09,Kandy District,21.745499,6.8808713,77.53951,0.0
2015-01-09,Kegalle District,23.09217,5.553507,74.2391,0.0
2015-01-09,Kilinochchi District,24.957087,9.245321,81.16059,0.0
2015-01-09,Mannar District,25.235916,13.48145,78.240944,0.0
2015-01-09,Matale District,23.22367,8.261082,76.838264,0.0
2015-01-09,Matara District,25.689165,3.2776117,84.88451,0.8
2015-01-09,Monaragala District,24.073835,9.493121,77.68637,0.0
2015-01-09,Mullaitivu District,25.331583,12.5862875,76.93202,0.0
2015-01-09,Nuwara Eliya District,16.173586,3.9408548,75.56621,0.0
2015-01-09,Polonnaruwa District,24.008165,5.9946895,80.94891,0.0
2015-01-09,Puttalam District,25.570082,10.970421,76.1549,0.0
2015-01-09,Ratnapura district,24.462831,5.0931883,79.80343,0.0
2015-01-09,Trincomalee District,25.1895,7.9250083,78.26352,0.0
2015-01-09,Vavuniya District,24.175001,8.755955,80.62621,0.0
2015-01-10,Ampara District,24.899084,14.758088,74.34304,0.0
2015-01-10,Anuradhapura District,24.265417,11.403298,76.45748,0.0
2015-01-10,Badulla District,20.4235,6.396507,77.81323,0.0
2015-01-10,Batticaloa District,25.19142,11.640362,74.33173,0.0
2015-01-10,Colombo District,25.632082,9.158214,68.284744,0.0
2015-01-10,Galle District,26.290415,3.6438272,83.10809,1.2
2015-01-10,Gampaha District,25.553583,12.841199,69.2008,0.0
2015-01-10,Hambantota District,25.654585,20.334082,70.19265,0.0
2015-01-10,Jaffna District,25.728666,19.71945,65.983925,0.1
2015-01-10,Kalutara District,24.75325,2.8920128,78.92874,0.0
2015-01-10,Kandy District,20.972582,9.356847,79.472626,0.0
2015-01-10,Kegalle District,22.7755,8.182728,73.43815,0.0
2015-01-10,Kilinochchi District,25.132082,13.504209,70.897194,0.0
2015-01-10,Mannar District,25.110918,19.671225,71.50798,0.0
2015-01-10,Matale District,22.956999,11.671623,77.2669,0.0
2015-01-10,Matara District,25.732918,3.6438272,84.27503,1.2
2015-01-10,Monaragala District,23.617584,12.777824,75.30505,0.0
2015-01-10,Mullaitivu District,25.450335,18.100277,66.599045,0.0
2015-01-10,Nuwara Eliya District,16.106918,5.67952,75.06348,0.0
2015-01-10,Polonnaruwa District,24.22275,7.8817573,77.31669,0.0
2015-01-10,Puttalam District,25.320084,15.020396,73.40972,0.0
2015-01-10,Ratnapura district,24.358667,2.8920128,77.771095,0.0
2015-01-10,Trincomalee District,25.091585,11.548843,70.80416,0.0
2015-01-10,Vavuniya District,24.0875,10.960898,75.294205,0.0
2015-01-11,Ampara District,24.79283,13.108311,68.49804,0.0
2015-01-11,Anuradhapura District,23.652918,10.648335,73.091835,0.0
2015-01-11,Badulla District,20.031832,6.735775,77.897316,0.0
2015-01-11,Batticaloa District,24.94975,10.619346,69.07811,0.0
2015-01-11,Colombo District,25.31958,12.03431,66.03022,0.0
2015-01-11,Galle District,26.088335,5.5164475,80.763,1.2
2015-01-11,Gampaha District,25.120253,16.162237,67.85316,0.0
2015-01-11,Hambantota District,25.433748,20.656546,66.969124,0.0
2015-01-11,Jaffna District,25.50575,21.557785,60.95013,0.0
2015-01-11,Kalutara District,23.955332,3.6356497,76.200516,0.2
2015-01-11,Kandy District,20.424665,9.301799,78.74969,0.0
2015-01-11,Kegalle District,22.354666,8.915748,73.06133,0.0
2015-01-11,Kilinochchi District,24.85292,14.05557,65.487785,0.0
2015-01-11,Mannar District,24.969252,20.332556,64.655624,0.0
2015-01-11,Matale District,22.409086,11.821765,75.99811,0.0
2015-01-11,Matara District,25.401665,5.5164475,81.85601,1.2
2015-01-11,Monaragala District,23.328001,12.059319,72.56745,0.0
2015-01-11,Mullaitivu District,25.444086,19.969702,59.886814,0.0
2015-01-11,Nuwara Eliya District,16.388166,5.773271,77.540405,0.0
2015-01-11,Polonnaruwa District,23.704,7.63945,74.51127,0.0
2015-01-11,Puttalam District,24.84925,13.894906,70.02761,0.0
2015-01-11,Ratnapura district,24.131584,3.6356497,75.73678,0.2
2015-01-11,Trincomalee District,25.029085,11.679909,64.340935,0.1
2015-01-11,Vavuniya District,23.541666,10.865783,70.51423,0.0
2015-01-12,Ampara District,24.59075,13.907657,65.5587,0.0
2015-01-12,Anuradhapura District,23.825834,9.491021,68.74515,0.0
2015-01-12,Badulla District,19.827667,5.8472953,76.14709,0.0
2015-01-12,Batticaloa District,25.072664,11.599957,63.21042,0.0
2015-01-12,Colombo District,25.252922,13.926494,62.000195,0.0
2015-01-12,Galle District,25.905005,6.3689384,81.2079,0.5
2015-01-12,Gampaha District,24.995249,16.524279,63.967953,0.0
2015-01-12,Hambantota District,25.137918,19.725763,65.92905,0.0
2015-01-12,Jaffna District,25.416166,18.529247,58.893173,0.0
2015-01-12,Kalutara District,23.569916,4.571804,74.59075,0.1
2015-01-12,Kandy District,20.199667,8.508926,76.53365,0.0
2015-01-12,Kegalle District,22.292166,9.209357,70.41072,0.0
2015-01-12,Kilinochchi District,24.867502,11.581405,63.23773,0.0
2015-01-12,Mannar District,24.998415,17.908762,61.86699,0.0
2015-01-12,Matale District,22.319498,10.924408,70.68516,0.0
2015-01-12,Matara District,25.13083,6.3689384,81.29754,0.5
2015-01-12,Monaragala District,23.098837,11.621086,70.02182,0.0
2015-01-12,Mullaitivu District,25.433664,17.232111,57.23532,0.0
2015-01-12,Nuwara Eliya District,16.327753,4.992869,81.55686,1.2
2015-01-12,Polonnaruwa District,23.731085,7.309075,69.46572,0.0
2015-01-12,Puttalam District,24.959665,13.405671,64.634254,0.0
2015-01-12,Ratnapura district,23.462837,4.571804,77.657845,0.1
2015-01-12,Trincomalee District,24.802,10.158807,62.24706,0.0
2015-01-12,Vavuniya District,23.793749,8.568761,67.63086,0.0
2015-01-13,Ampara District,24.6345,12.771909,71.57226,0.0
2015-01-13,Anuradhapura District,23.836248,9.823097,71.33399,0.0
2015-01-13,Badulla District,20.346416,4.3699393,73.7371,0.0
2015-01-13,Batticaloa District,24.995584,10.840283,72.35588,0.0
2015-01-13,Colombo District,25.602913,10.244241,59.877308,0.0
2015-01-13,Galle District,25.840418,5.739386,78.4253,0.0
2015-01-13,Gampaha District,25.328585,14.127627,62.968662,0.0
2015-01-13,Hambantota District,25.78792,16.087091,64.53778,0.0
2015-01-13,Jaffna District,25.655752,18.041939,61.420086,0.0
2015-01-13,Kalutara District,23.642832,3.9603462,73.327034,0.0
2015-01-13,Kandy District,20.428833,8.195128,75.8773,0.0
2015-01-13,Kegalle District,22.427584,7.839912,69.3922,0.0
2015-01-13,Kilinochchi District,25.075834,11.528576,66.317245,0.0
2015-01-13,Mannar District,25.3255,17.94813,62.787296,0.0
2015-01-13,Matale District,22.354918,9.962877,73.64076,0.0
2015-01-13,Matara District,25.372496,5.739386,78.151375,0.0
2015-01-13,Monaragala District,23.486334,11.429413,70.05279,0.0
2015-01-13,Mullaitivu District,25.581583,16.970987,64.26281,0.0
2015-01-13,Nuwara Eliya District,16.750666,4.393098,74.671,0.0
2015-01-13,Polonnaruwa District,23.581083,8.356116,74.485634,0.0
2015-01-13,Puttalam District,25.278412,12.308152,65.66359,0.0
2015-01-13,Ratnapura district,23.619081,3.9603462,74.65757,0.0
2015-01-13,Trincomalee District,25.035334,10.242156,69.837,0.0
2015-01-13,Vavuniya District,24.033333,9.437766,70.37384,0.0
2015-01-14,Ampara District,24.586584,9.981681,81.64887,0.4
2015-01-14,Anuradhapura District,24.034164,7.7945366,82.47548,0.3
2015-01-14,Badulla District,21.108915,4.4154677,81.70803,0.4
2015-01-14,Batticaloa District,24.551834,8.56721,83.15055,1.5000001
2015-01-14,Colombo District,25.79875,5.854416,71.734,0.0
2015-01-14,Galle District,26.007082,4.609006,81.19627,2.5
2015-01-14,Gampaha District,25.695251,5.821068,73.74549,0.0
2015-01-14,Hambantota District,25.64417,11.127244,76.5539,0.0
2015-01-14,Jaffna District,24.703669,16.869661,77.14642,2.6
2015-01-14,Kalutara District,24.35325,5.0220857,79.06193,0.5
2015-01-14,Kandy District,21.941336,5.1466656,81.60288,0.0
2015-01-14,Kegalle District,23.415083,3.893842,76.16357,0.90000004
2015-01-14,Kilinochchi District,24.209166,11.08266,81.13795,0.5
2015-01-14,Mannar District,24.502584,16.325178,80.21492,0.6
2015-01-14,Matale District,23.157,6.4844337,82.98579,0.0
2015-01-14,Matara District,25.585005,4.609006,81.18244,2.5
2015-01-14,Monaragala District,23.902998,8.7217865,80.90661,0.0
2015-01-14,Mullaitivu District,24.660753,15.037248,77.25509,3.1
2015-01-14,Nuwara Eliya District,16.936085,2.7512796,77.117004,0.0
2015-01-14,Polonnaruwa District,23.970667,6.343448,83.26302,1.1
2015-01-14,Puttalam District,25.017998,10.373664,78.76252,0.0
2015-01-14,Ratnapura district,24.579498,5.0220857,79.8316,0.5
2015-01-14,Trincomalee District,24.406166,7.8866735,81.30626,1.8
2015-01-14,Vavuniya District,23.579168,8.116284,83.615395,1.1000001
2015-01-15,Ampara District,25.001167,12.028094,81.29809,0.8
2015-01-15,Anuradhapura District,24.586248,8.068423,75.45987,0.0
2015-01-15,Badulla District,21.2985,4.773009,83.192024,0.2
2015-01-15,Batticaloa District,25.385168,10.181634,78.82855,0.1
2015-01-15,Colombo District,26.152916,5.0884523,77.328606,2.1
2015-01-15,Galle District,26.03,5.3105416,82.51999,2.2
2015-01-15,Gampaha District,26.291086,5.9306197,73.814644,2.8
2015-01-15,Hambantota District,25.840002,10.558245,79.021645,0.0
2015-01-15,Jaffna District,25.222418,12.190487,69.90023,0.0
2015-01-15,Kalutara District,24.765747,4.7091537,81.776245,1.6000001
2015-01-15,Kandy District,22.539251,5.3981338,83.232956,0.1
2015-01-15,Kegalle District,24.035917,3.9701786,80.57116,4.2999997
2015-01-15,Kilinochchi District,24.621668,9.408887,74.90995,0.0
2015-01-15,Mannar District,25.092165,15.009072,71.36839,0.0
2015-01-15,Matale District,23.82575,7.6382174,79.834206,0.1
2015-01-15,Matara District,25.620413,5.3105416,83.37288,2.2
2015-01-15,Monaragala District,24.305086,9.631505,80.9381,0.0
2015-01-15,Mullaitivu District,25.477419,12.268406,69.79295,0.0
2015-01-15,Nuwara Eliya District,16.631918,3.7814624,85.29356,1.1
2015-01-15,Polonnaruwa District,24.703997,6.8466644,78.66172,0.0
2015-01-15,Puttalam District,25.428415,11.584107,73.61814,0.0
2015-01-15,Ratnapura district,24.917,4.7091537,85.97271,1.6000001
2015-01-15,Trincomalee District,25.3145,9.092582,74.1242,0.0
